activity_time_id,time_spent_on_activity
96,24
95,23.75
94,23.5
93,23.25
92,23
91,22.75
90,22.5
89,22.25
88,22
87,21.75
86,21.5
85,21.25
84,21
83,20.75
82,20.5
81,20.25
80,20
79,19.75
78,19.5
77,19.25
76,19
75,18.75
74,18.5
73,18.25
72,18
71,17.75
70,17.5
69,17.25
68,17
67,16.75
66,16.5
65,16.25
64,16
63,15.75
62,15.5
61,15.25
60,15
59,14.75
58,14.5
57,14.25
56,14
55,13.75
54,13.5
53,13.25
52,13
51,12.75
50,12.5
49,12.25
48,12
47,11.75
46,11.5
45,11.25
44,11
43,10.75
42,10.5
41,10.25
40,10
39,9.75
38,9.5
37,9.25
36,9
35,8.75
34,8.5
33,8.25
32,8
31,7.75
30,7.5
29,7.25
28,7
27,6.75
26,6.5
25,6.25
24,6
23,5.75
22,5.5
21,5.25
20,5
19,4.75
18,4.5
17,4.25
16,4
15,3.75
14,3.5
13,3.25
12,3
11,2.75
10,2.5
9,2.25
8,2
7,1.75
6,1.5
5,1.25
4,1
3,.75
2,.5
1,.25
